,회사명,거래소코드,회계년도,설비투자효율,총자본투자효율,부채구성비율,비유동장기적합률,재고자산보유기간,매출채권회수기간,매입채무회전률,경영자본회전률,경영자본순이익률,자기자본순이익률,자기자본증가율,년,key,부도
65,(주)나무가,190510.0,2020/12,125.21,3.57,68.37802040007922,61.94,4.361333492651452,91.9395465994962,5.5,3.01,-1.16,-2.97,2.91,2020.0,1905102021.0,0.0
66,(주)나스미디어,89600.0,2019/12,550.24,19.89,52.590428024192825,53.63,0.0,103.10734463276836,0.74,0.39,9.23,14.49,6.12,2019.0,896002020.0,0.0
67,(주)나스미디어,89600.0,2020/12,629.37,18.89,53.64620625311897,38.82,0.0,102.52808988764043,0.6,0.32,8.84,15.92,12.82,2020.0,896002021.0,0.0
68,(주)나이벡,138610.0,2019/12,7.38,2.16,23.31327829858682,59.47,117.74193548387096,87.74038461538461,52.02,0.33,-9.61,-14.36,159.12,2019.0,1386102020.0,0.0
69,(주)나이벡,138610.0,2020/12,-11.0,-2.12,40.01695553880935,41.79,200.5494505494505,136.70411985018728,37.25,0.15,-8.42,-12.28,16.18,2020.0,1386102021.0,0.0
70,(주)나이스디앤비,130580.0,2019/12,1029.81,55.68,22.61289096707037,48.55,0.0,40.87346024636059,0.0,1.28,23.21,20.73,14.36,2019.0,1305802020.0,0.0
71,(주)나이스디앤비,130580.0,2020/12,1787.86,58.63,20.87408979259625,47.83,0.0,41.19638826185102,0.0,1.27,21.98,20.64,16.23,2020.0,1305802021.0,0.0
72,(주)나인테크,267320.0,2019/12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019.0,2673202020.0,0.0
73,(주)나인테크,267320.0,2020/12,18.3,3.84,61.34889224366559,58.56,92.17171717171718,60.1317957166392,4.65,1.04,-1.95,-4.33,0.0,2020.0,2673202021.0,0.0
74,(주)내츄럴엔도텍,168330.0,2019/12,-32.05,-19.84,59.172146167942216,69.91,200.5494505494505,47.83748361730013,10.44,0.13,-30.61,-57.6,-44.72,2019.0,1683302020.0,0.0
75,(주)내츄럴엔도텍,168330.0,2020/12,12.3,6.94,69.45276451064518,156.28,87.52997601918466,40.91928251121076,27.39,0.28,-4.61,-12.73,-20.3,2020.0,1683302021.0,0.0
76,(주)네오리진,94860.0,2019/12,178.16,9.65,23.09660908509277,48.55,28.649921507064363,88.59223300970874,13.69,0.93,-22.48,-24.12,-8.24,2019.0,948602020.0,0.0
77,(주)네오리진,94860.0,2020/12,382.13,22.52,16.14200769499825,58.77,21.533923303834808,71.15009746588694,22.93,0.89,-17.0,-17.65,-11.35,2020.0,948602021.0,0.0
78,(주)네오셈,253590.0,2019/12,2.66,0.52,39.41739628508306,44.53,63.14878892733564,148.3739837398374,8.93,0.48,-3.32,-4.7,0.0,2019.0,2535902020.0,0.0
79,(주)네오셈,253590.0,2020/12,84.85,15.61,32.29335426653082,44.68,31.76675369886858,67.46765249537893,16.38,0.92,10.14,13.46,9.51,2020.0,2535902021.0,0.0
80,(주)네오오토,212560.0,2019/12,20.61,13.41,43.74206903396403,95.04,24.51309603760913,43.45238095238095,8.97,0.9,1.91,3.18,2.35,2019.0,2125602020.0,0.0
81,(주)네오오토,212560.0,2020/12,24.2,14.31,42.739540132795135,96.97,25.960170697012803,51.19214586255259,8.58,0.86,2.6,4.37,4.21,2020.0,2125602021.0,0.0
82,(주)네오위즈,95660.0,2019/12,56.34,8.32,10.984297183141056,83.0,0.0096450209495139,28.360528360528363,26.73,1.4,4.5,2.0,-0.33,2019.0,956602020.0,0.0
83,(주)네오위즈,95660.0,2020/12,117.81,19.84,12.390819964349376,73.96,0.0176491010563349,30.932203389830505,31.87,1.1,22.81,12.94,21.07,2020.0,956602021.0,0.0
84,(주)네오위즈홀딩스,42420.0,2019/12,341097.95,2.51,0.4294582872693256,65.31,9.58005249343832,19.880174291939,0.0,0.02,4.98,1.9,0.26,2019.0,424202020.0,0.0
85,(주)네오위즈홀딩스,42420.0,2020/12,-4591.41,-1.17,0.3642211165782457,67.02,17.372679676344596,0.0,0.0,0.01,-3.4,-1.18,-4.75,2020.0,424202021.0,0.0
86,(주)네오이뮨텍,950220.0,2019/12,0.0,0.0,4.5206245783766885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019.0,9502202020.0,0.0
87,(주)네오이뮨텍,950220.0,2020/12,-16335.4,-26.89,12.08323382516328,18.8,0.0,0.0,0.0,0.0,-32.08,-35.48,0.0,2020.0,9502202021.0,0.0
88,(주)네오크레마,311390.0,2019/12,17.7,8.29,17.27754398970848,57.38,113.0030959752322,41.85779816513761,20.22,0.5,3.39,4.12,63.89,2019.0,3113902020.0,0.0
89,(주)네오크레마,311390.0,2020/12,21.25,9.47,15.902058665786544,55.72,100.55096418732782,37.667698658410735,30.06,0.51,5.26,5.77,7.46,2020.0,3113902021.0,0.0
90,(주)네오티스,85910.0,2019/12,27.04,8.72,47.55824823391591,93.26,42.94117647058823,119.672131147541,11.93,0.64,2.06,3.06,-2.37,2019.0,859102020.0,0.0
91,(주)네오티스,85910.0,2020/12,17.12,5.5,57.17206304446347,86.83,42.49126891734575,122.48322147651008,11.39,0.5,0.2,0.35,-4.05,2020.0,859102021.0,0.0
