key,운영,시설,기타
0662002006,2.0,0.0,0.0
0450502011,2.0,0.0,2.0
0476002005,2.0,0.0,0.0
0262202006,2.0,0.0,0.0
0303902007,2.0,1.0,1.0
0786502015,2.0,0.0,0.0
0328202018,2.0,0.0,0.0
0890102017,2.0,0.0,0.0
0320502004,2.0,0.0,0.0
0355002007,2.0,0.0,0.0
2228102018,2.0,0.0,2.0
0374602019,2.0,0.0,0.0
1145702018,2.0,0.0,0.0
0671702009,2.0,0.0,0.0
0511602016,2.0,0.0,0.0
1154502015,2.0,0.0,0.0
0530402006,2.0,0.0,0.0
0491802010,2.0,0.0,0.0
0383402014,2.0,0.0,1.0
0679502008,2.0,0.0,0.0
0259702005,2.0,0.0,0.0
0719302008,2.0,0.0,1.0
0362702005,2.0,0.0,0.0
0500502011,2.0,0.0,0.0
0828502017,2.0,0.0,0.0
0602302018,2.0,0.0,0.0
0222202008,2.0,0.0,0.0
0730702019,2.0,0.0,1.0
0322802006,2.0,0.0,0.0
0533302005,2.0,0.0,0.0
0998302017,2.0,0.0,0.0
0354502006,2.0,1.0,3.0
0237702010,2.0,0.0,0.0
0822702015,2.0,0.0,0.0
0568502009,2.0,0.0,1.0
1748802019,2.0,0.0,3.0
0484602009,2.0,0.0,0.0
0872602017,2.0,0.0,0.0
0419602013,2.0,0.0,0.0
0262502011,2.0,0.0,0.0
0540102007,2.0,1.0,0.0
0454702006,2.0,0.0,1.0
1013902019,2.0,1.0,0.0
Ent.2006,2.0,0.0,0.0
0334302010,2.0,0.0,2.0
0234302008,2.0,0.0,0.0
0300302007,2.0,0.0,0.0
0365002010,2.0,0.0,0.0
2048402018,2.0,0.0,0.0
0651702009,2.0,0.0,0.0
0651602012,2.0,0.0,0.0
0529002016,2.0,0.0,0.0
1932502020,2.0,0.0,0.0
1954402019,2.0,0.0,4.0
1499402018,2.0,0.0,0.0
0363602007,2.0,0.0,2.0
E&M2019,2.0,0.0,1.0
0142002019,2.0,0.0,2.0
0331902007,2.0,0.0,1.0
0485102010,2.0,0.0,0.0
0363602005,2.0,0.0,0.0
0995202020,2.0,0.0,0.0
0562002009,2.0,0.0,0.0
0862502019,2.0,0.0,5.0
0327902018,2.0,4.0,0.0
0517802011,2.0,0.0,0.0
