,번호,시간,회사명,종목코드,공시제목,제출인
28,91,2014-03-11 12:44,엘컴텍,37950,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],엘컴텍
29,90,2014-03-11 07:22,엘컴텍,37950,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],엘컴텍
30,89,2014-03-07 17:56,엠텍비젼,74000,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,에스피엠씨
31,88,2014-03-06 18:11,엠텍비젼,74000,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],에스피엠씨
32,87,2014-02-27 17:36,디지텍시스템,91690,[정정]회생절차개시신청,디지텍시스템스
33,86,2014-02-27 15:32,태산엘시디,36210,회생절차개시결정,태산엘시디
34,85,2014-02-26 07:05,디지텍시스템,91690,회생절차개시신청[정],디지텍시스템스
35,84,2014-02-14 16:51,모린스,110310,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,모린스
36,83,2014-02-14 16:09,피앤텔,54340,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,피앤텔
37,82,2014-02-13 17:16,유니슨,18000,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,유니슨
38,81,2013-12-31 16:59,태산엘시디,36210,회생절차개시신청,태산엘시디
39,80,2013-12-31 16:36,태산엘시디,36210,파산신청,태산엘시디
40,79,2013-11-19 16:59,나노트로닉스,10670,파산신청,나노트로닉스
41,78,2013-10-22 18:16,엘컴텍,37950,회생절차 종결결정,엘컴텍
42,77,2013-10-22 18:06,엘컴텍,37950,회생절차 종결신청,엘컴텍
43,76,2013-10-17 15:57,삼표시멘트,38500,회생절차개시결정,삼표시멘트
44,75,2013-10-04 15:44,삼표시멘트,38500,[정정]회생절차개시신청,삼표시멘트
45,74,2013-10-01 18:10,삼표시멘트,38500,[정정]회생절차개시신청[정],삼표시멘트
46,73,2013-10-01 17:41,동화기업,25900,해산사유발생(자회사의 주요경영사항),동화기업
47,72,2013-10-01 17:34,동화기업,25900,해산사유발생(자회사의 주요경영사항),동화기업
48,71,2013-10-01 12:45,삼표시멘트,38500,회생절차개시신청[정],삼표시멘트
49,70,2013-09-13 15:31,엠텍비젼,74000,회생계획 인가,에스피엠씨
50,69,2013-08-26 15:45,엘컴텍,37950,회생계획 인가,엘컴텍
51,68,2013-05-29 07:06,디에스티,33430,파산신청,디에스티
52,67,2013-05-02 18:07,에스비엠,37630,회생절차개시신청,에스비엠
53,66,2013-04-10 16:21,마이스코,88700,회생절차개시결정,마이스코
54,65,2013-04-04 07:20,에스비엠,37630,회생절차개시신청,에스비엠
55,64,2013-04-01 18:09,유일엔시스,38720,[정정]회생절차개시신청,유일엔시스
56,63,2013-03-22 18:47,유일엔시스,38720,회생절차개시신청[정],유일엔시스
57,62,2013-03-19 16:00,프리젠,60910,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,프리젠
58,61,2013-03-15 18:56,프리젠,60910,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],프리젠
59,60,2013-03-15 17:52,마이스코,88700,회생절차개시신청,마이스코
60,59,2013-03-15 17:45,프리젠,60910,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],프리젠
61,58,2013-03-15 16:52,엠텍비젼,74000,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,에스피엠씨
62,57,2013-03-15 11:08,엘컴텍,37950,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,엘컴텍
63,56,2013-03-14 20:40,이디디컴퍼니,52650,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,이디디컴퍼니
64,55,2013-03-14 20:25,엘컴텍,37950,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],엘컴텍
65,54,2013-03-14 17:10,아라온테크,41060,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,아라온테크
66,53,2013-03-14 16:32,아큐텍,13780,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,아큐텍
67,52,2013-03-13 16:06,아이팩토리,53810,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,아이팩토리
68,51,2013-03-13 07:06,위다스,56810,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,위다스
