,회사명,거래소코드,회계년도,종가,년,key,종가변동률
179,(주)골드퍼시픽,38530,2001/12,2790.0,2001,385302002,-0.03793103448275862
180,(주)골드퍼시픽,38530,2002/12,1460.0,2002,385302003,-0.4767025089605735
181,(주)골드퍼시픽,38530,2003/12,2090.0,2003,385302004,0.4315068493150685
182,(주)골드퍼시픽,38530,2004/12,2065.0,2004,385302005,-0.011961722488038277
183,(주)골드퍼시픽,38530,2005/12,2615.0,2005,385302006,0.26634382566585957
184,(주)골드퍼시픽,38530,2006/12,870.0,2006,385302007,-0.6673040152963671
185,(주)골드퍼시픽,38530,2007/12,2650.0,2007,385302008,2.045977011494253
186,(주)골드퍼시픽,38530,2008/12,820.0,2008,385302009,-0.690566037735849
187,(주)골드퍼시픽,38530,2009/12,795.0,2009,385302010,-0.03048780487804878
188,(주)골드퍼시픽,38530,2010/12,620.0,2010,385302011,-0.22012578616352202
189,(주)골드퍼시픽,38530,2011/12,1095.0,2011,385302012,0.7661290322580645
190,(주)골드퍼시픽,38530,2012/12,1235.0,2012,385302013,0.1278538812785388
191,(주)골드퍼시픽,38530,2013/12,849.0,2013,385302014,-0.3125506072874494
192,(주)골드퍼시픽,38530,2014/12,1200.0,2014,385302015,0.4134275618374558
193,(주)골드퍼시픽,38530,2015/12,1620.0,2015,385302016,0.35
194,(주)골드퍼시픽,38530,2016/12,732.0,2016,385302017,-0.5481481481481482
195,(주)골드퍼시픽,38530,2017/12,3780.0,2017,385302018,4.163934426229508
196,(주)골드퍼시픽,38530,2018/12,1415.0,2018,385302019,-0.6256613756613757
197,(주)골드퍼시픽,38530,2019/12,1620.0,2019,385302020,0.14487632508833923
198,(주)골드퍼시픽,38530,2020/12,1435.0,2020,385302021,-0.11419753086419752
199,(주)골프존,215000,2015/12,87900.0,2015,2150002016,-0.2571103526734926
200,(주)골프존,215000,2016/12,65300.0,2016,2150002017,-0.2571103526734926
201,(주)골프존,215000,2017/12,44850.0,2017,2150002018,-0.31316998468606433
202,(주)골프존,215000,2018/12,33450.0,2018,2150002019,-0.25418060200668896
203,(주)골프존,215000,2019/12,68900.0,2019,2150002020,1.0597907324364724
204,(주)골프존,215000,2020/12,69300.0,2020,2150002021,0.005805515239477504
205,(주)골프존뉴딘홀딩스,121440,2007/12,,2007,1214402008,0.3158995815899582
206,(주)골프존뉴딘홀딩스,121440,2008/12,,2008,1214402009,0.3158995815899582
207,(주)골프존뉴딘홀딩스,121440,2009/12,,2009,1214402010,0.3158995815899582
208,(주)골프존뉴딘홀딩스,121440,2010/12,,2010,1214402011,0.3158995815899582
209,(주)골프존뉴딘홀딩스,121440,2011/12,47800.0,2011,1214402012,0.3158995815899582
210,(주)골프존뉴딘홀딩스,121440,2012/12,62900.0,2012,1214402013,0.3158995815899582
211,(주)골프존뉴딘홀딩스,121440,2013/12,20150.0,2013,1214402014,-0.6796502384737679
212,(주)골프존뉴딘홀딩스,121440,2014/12,25250.0,2014,1214402015,0.2531017369727047
213,(주)골프존뉴딘홀딩스,121440,2015/12,7150.0,2015,1214402016,-0.7168316831683168
214,(주)골프존뉴딘홀딩스,121440,2016/12,7760.0,2016,1214402017,0.08531468531468532
215,(주)골프존뉴딘홀딩스,121440,2017/12,5320.0,2017,1214402018,-0.31443298969072164
216,(주)골프존뉴딘홀딩스,121440,2018/12,3685.0,2018,1214402019,-0.3073308270676692
217,(주)골프존뉴딘홀딩스,121440,2019/12,3545.0,2019,1214402020,-0.037991858887381276
218,(주)골프존뉴딘홀딩스,121440,2020/12,5540.0,2020,1214402021,0.5627644569816643
219,(주)광림,14200,1999/12,5640.0,1999,142002000,-0.11347517730496454
220,(주)광림,14200,2000/12,5000.0,2000,142002001,-0.11347517730496454
221,(주)광림,14200,2001/12,5180.0,2001,142002002,0.036
222,(주)광림,14200,2002/12,2920.0,2002,142002003,-0.4362934362934363
223,(주)광림,14200,2003/12,4135.0,2003,142002004,0.4160958904109589
224,(주)광림,14200,2004/12,2680.0,2004,142002005,-0.3518742442563482
225,(주)광림,14200,2005/12,4750.0,2005,142002006,0.7723880597014925
226,(주)광림,14200,2006/12,4290.0,2006,142002007,-0.0968421052631579
227,(주)광림,14200,2007/12,12300.0,2007,142002008,1.867132867132867
228,(주)광림,14200,2008/12,465.0,2008,142002009,-0.9621951219512195
